barcode_norm,product_name_old,product_name_new,unit_price_old,unit_step_old,unit_type_old,base_price_old,unit_price_new,unit_step_new,unit_type_new,base_price_new,base_unit_old,base_price_diff,base_price_pct
5995863010080,"Kotányi Real, Dried Saffron 0,12 g","Kotányi Real, Dried Saffron 0,12 g",599.0,0.12,g,4991666.666666667,649.0,0.12,g,5408333.333333334,Ft/kg,416666.666666667,8.34724540901503
5997359135055,Lucullus morzsolt tárkonylevél 5 g,Lucullus morzsolt tárkonylevél 5 g,229.0,5.0,g,45800.0,324.0,5.0,g,64800.0,Ft/kg,19000.0,41.48471615720524
5999548671962,Classic alaszkai tőkehalfilé darabok növényi olajban füst ízesítéssel 125 g,Classic alaszkai tőkehalfilé darabok növényi olajban füst ízesítéssel 125 g,1159.0,85.0,g,13635.294117647058,2575.0,85.0,g,30294.11764705882,Ft/kg,16658.823529411762,122.17428817946505
5997359135154,Lucullus szárított metélőhagyma 5 g,Lucullus szárított metélőhagyma 5 g,249.0,5.0,g,49800.0,324.0,5.0,g,64800.0,Ft/kg,15000.0,30.120481927710845
5997359137974,Lucullus morzsolt borsikafű 5 g,Lucullus morzsolt borsikafű 5 g,249.0,5.0,g,49800.0,324.0,5.0,g,64800.0,Ft/kg,15000.0,30.120481927710845
5997359137967,Lucullus morzsolt lestyánlevél 5 g,Lucullus morzsolt lestyánlevél 5 g,259.0,5.0,g,51800.0,324.0,5.0,g,64800.0,Ft/kg,13000.0,25.096525096525095
5997359135178,Lucullus morzsolt kakukkfű 5 g,Lucullus morzsolt kakukkfű 5 g,259.0,5.0,g,51800.0,324.0,5.0,g,64800.0,Ft/kg,13000.0,25.096525096525095
5997207710021,"Béres C-vitamin 1000 mg + 1000 NE D3-vitamin filmtabletta csipkebogyókivonattal 50 x 1,85 g (92,5 g)","Béres C-vitamin 1000 mg + 1000 NE D₃-vitamin filmtabletta csipkebogyó kivonattal 50 x 1,38 g",2699.0,92.5,g,29178.37837837838,2864.0,69.0,g,41507.24637681159,Ft/kg,12328.867998433212,42.25343793460808
5999561421728,Dr. Chen Patika Ginseng Royal Jelly étrend-kiegészítő ivóampulla 10 x 10 ml (100 ml),Dr. Chen Patika Ginseng Royal Jelly étrend-kiegészítő ivóampulla 10 x 10 ml (100 ml),2319.0,100.0,ml,23190.0,3499.0,100.0,ml,34990.0,Ft/l,11800.0,50.884001724881415
5999139000485,"Beluga Noble prémium vodka 40% 0,7 l","Beluga Noble prémium vodka 40% 0,7 l",14049.0,700.0,ml,20070.0,22099.0,700.0,ml,31570.0,Ft/l,11500.0,57.299451918286
